"","Date_of_game","Team1","Team2","Pointspread","Score1","Score2","scorediff","Location","ATLANTA HAWKS","BOSTON CELTICS","BROOKLYN NETS","CHARLOTTE HORNETS","CHICAGO BULLS","CLEVELAND CAVALIERS","DALLAS MAVERICKS","DENVER NUGGETS","DETROIT PISTONS","GOLDEN STATE WARRIORS","HOUSTON ROCKETS","INDIANA PACERS","LOS ANGELES CLIPPERS","LOS ANGELES LAKERS","MEMPHIS GRIZZLIES","MIAMI HEAT","MILWAUKEE BUCKS","MINNESOTA TIMBERWOLVES","NEW ORLEANS PELICANS","NEW YORK KNICKS","OKLAHOMA CITY THUNDER","ORLANDO MAGIC","PHILADELPHIA 76ERS","PHOENIX SUNS","PORTLAND TRAIL BLAZERS","SACRAMENTO KINGS","SAN ANTONIO SPURS","TORONTO RAPTORS","UTAH JAZZ","WASHINGTON WIZARDS"
"35",2017-02-15,"ATLANTA HAWKS","LOS ANGELES CLIPPERS",3.5,84,99,-15,"V",1,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"36",2016-11-02,"ATLANTA HAWKS","LOS ANGELES LAKERS",-12,116,123,-7,"H",1,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"37",2016-11-27,"ATLANTA HAWKS","LOS ANGELES LAKERS",-5,94,109,-15,"V",1,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"38",2017-03-11,"ATLANTA HAWKS","MEMPHIS GRIZZLIES",6.5,107,90,17,"V",1,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"39",2017-03-16,"ATLANTA HAWKS","MEMPHIS GRIZZLIES",-4,91,103,-12,"H",1,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"40",2016-11-15,"ATLANTA HAWKS","MIAMI HEAT",-6.5,93,90,3,"V",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"41",2016-12-07,"ATLANTA HAWKS","MIAMI HEAT",-9,103,95,8,"H",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"42",2017-02-01,"ATLANTA HAWKS","MIAMI HEAT",1.5,93,116,-23,"V",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"43",2017-02-24,"ATLANTA HAWKS","MIAMI HEAT",-3,90,108,-18,"H",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"44",2016-11-16,"ATLANTA HAWKS","MILWAUKEE BUCKS",-5.5,107,100,7,"H",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0
"45",2016-12-09,"ATLANTA HAWKS","MILWAUKEE BUCKS",3.5,114,110,4,"V",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0
"46",2017-01-15,"ATLANTA HAWKS","MILWAUKEE BUCKS",-4,111,98,13,"H",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0
"47",2017-03-24,"ATLANTA HAWKS","MILWAUKEE BUCKS",6.5,97,100,-3,"V",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0
"48",2016-12-21,"ATLANTA HAWKS","MINNESOTA TIMBERWOLVES",-4.5,84,92,-8,"H",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0
"49",2016-12-26,"ATLANTA HAWKS","MINNESOTA TIMBERWOLVES",-1.5,90,104,-14,"V",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0
"50",2016-11-22,"ATLANTA HAWKS","NEW ORLEANS PELICANS",-8.5,94,112,-18,"H",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0
"51",2017-01-05,"ATLANTA HAWKS","NEW ORLEANS PELICANS",2,99,94,5,"V",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0
"52",2016-11-20,"ATLANTA HAWKS","NEW YORK KNICKS",-4.5,94,104,-10,"V",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0
"53",2016-12-28,"ATLANTA HAWKS","NEW YORK KNICKS",-5,102,98,4,"H",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0
"54",2017-01-16,"ATLANTA HAWKS","NEW YORK KNICKS",-2.5,108,107,1,"V",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0
"55",2017-01-29,"ATLANTA HAWKS","NEW YORK KNICKS",-6,142,139,3,"H",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0
"56",2016-12-05,"ATLANTA HAWKS","OKLAHOMA CITY THUNDER",-4,99,102,-3,"H",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0
"57",2016-12-19,"ATLANTA HAWKS","OKLAHOMA CITY THUNDER",2.5,110,108,2,"V",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0
"58",2016-12-13,"ATLANTA HAWKS","ORLANDO MAGIC",-8.5,120,131,-11,"H",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0
"59",2017-01-04,"ATLANTA HAWKS","ORLANDO MAGIC",-2,111,92,19,"V",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0
"60",2017-02-04,"ATLANTA HAWKS","ORLANDO MAGIC",-7,113,86,27,"H",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0
"61",2017-02-25,"ATLANTA HAWKS","ORLANDO MAGIC",-4,86,105,-19,"V",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0
"62",2016-10-29,"ATLANTA HAWKS","PHILADELPHIA 76ERS",-7.5,104,72,32,"V",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0
"63",2016-11-12,"ATLANTA HAWKS","PHILADELPHIA 76ERS",-14.5,117,96,21,"H",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0
"64",2017-01-21,"ATLANTA HAWKS","PHILADELPHIA 76ERS",-10.5,110,93,17,"H",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0
"65",2017-03-29,"ATLANTA HAWKS","PHILADELPHIA 76ERS",-2.5,99,92,7,"V",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0
"66",2016-11-30,"ATLANTA HAWKS","PHOENIX SUNS",-4.5,107,109,-2,"V",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0
"67",2017-03-28,"ATLANTA HAWKS","PHOENIX SUNS",-10,95,91,4,"H",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0
"68",2017-02-13,"ATLANTA HAWKS","PORTLAND TRAIL BLAZERS",2,109,104,5,"V",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0
"69",2017-03-18,"ATLANTA HAWKS","PORTLAND TRAIL BLAZERS",-3.5,97,113,-16,"H",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0
"70",2016-10-31,"ATLANTA HAWKS","SACRAMENTO KINGS",-7,106,95,11,"H",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0
"71",2017-02-10,"ATLANTA HAWKS","SACRAMENTO KINGS",-2,107,108,-1,"V",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0
"72",2017-01-01,"ATLANTA HAWKS","SAN ANTONIO SPURS",5,114,112,2,"H",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0
"73",2017-03-13,"ATLANTA HAWKS","SAN ANTONIO SPURS",7,99,107,-8,"V",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0
"74",2016-12-03,"ATLANTA HAWKS","TORONTO RAPTORS",8.5,84,128,-44,"V",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0
"75",2016-12-16,"ATLANTA HAWKS","TORONTO RAPTORS",6.5,125,121,4,"V",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0
"76",2017-03-10,"ATLANTA HAWKS","TORONTO RAPTORS",-3,105,99,6,"H",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0
"77",2016-11-25,"ATLANTA HAWKS","UTAH JAZZ",3.5,68,95,-27,"V",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0
"78",2017-02-06,"ATLANTA HAWKS","UTAH JAZZ",0,95,120,-25,"H",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0
"79",2016-10-27,"ATLANTA HAWKS","WASHINGTON WIZARDS",-4,114,99,15,"H",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1
"80",2016-11-04,"ATLANTA HAWKS","WASHINGTON WIZARDS",1.5,92,95,-3,"V",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1
"81",2017-01-27,"ATLANTA HAWKS","WASHINGTON WIZARDS",-3.5,86,112,-26,"H",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1
"82",2017-03-22,"ATLANTA HAWKS","WASHINGTON WIZARDS",7.5,100,104,-4,"V",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1
