"","x"
"1011",-13
"1012",-11
"1013",-3
"1014",-12
"1015",-6
"1016",-7
"1017",-3
"1018",5
"1019",-4
"1020",2
"1021",5
"1022",-2
"1023",-12
"1024",-3
"1025",3
"1026",6
"1027",3
"1028",-9
"1029",-6
"1030",-4
"1031",-6
"1032",-4
"1033",-8
"1034",-5
"1035",-2
"1036",11
"1037",-4
"1038",-8
"1039",-6
"1040",2
"1041",-11
"1042",3
"1043",-6
"1044",2
"1045",-1
"1046",-5
"1047",8
"1048",-1
"1049",-6
"1050",4
"1051",-13
"1052",-5
"1053",15
"1054",0
"1055",14
"1056",2
"1057",-3
"1058",-3
"1059",1
"1060",-6
"1061",-14
"1062",-4
"1063",4
"1064",-6
"1065",1
"1066",5
"1067",9
"1068",-6
"1069",6
"1070",8
"1071",21
"1072",0
"1073",-8
"1074",-12
"1075",-1
"1076",2
"1077",-12
"1078",-1
"1079",-9
"1080",-5
"1081",-9
"1082",-1
"1083",-6
"1084",-3
"1085",-10
"1086",9
"1087",1
"1088",3
"1089",9
"1090",4
"1091",1
"1092",21
"1093",-2
"1094",7
"1095",-2
"1096",-4
"1097",-2
"1098",-3
"1099",6
"1100",3
"1101",-2
"1102",8
"1103",-1
"1104",-10
"1105",-5
"1106",13
"1107",2
"1108",-3
"1109",3
"1110",11
"1111",4
"1112",6
"1113",-4
"1114",8
"1115",1
"1116",4
"1117",-15
"1118",13
"1119",-4
"1120",-7
"1121",15
"1122",12
"1123",6
"1124",-6
"1125",1
"1126",3
"1127",1
"1128",-2
"1129",-8
"1130",2
"1131",4
"1132",2
"1133",6
"1134",2
"1135",-9
"1136",11
"1137",-3
"1138",8
"1139",-9
"1140",6
"1141",-2
"1142",10
"1143",-3
"1144",-6
"1145",2
"1146",-7
"1147",-10
"1148",-15
"1149",5
"1150",2
"1151",-4
"1152",2
"1153",1
"1154",5
"1155",1
"1156",-7
"1157",13
"1158",-10
"1159",3
"1160",7
"1161",8
"1162",11
"1163",-8
"1164",-4
"1165",5
"1166",9
"1167",0
"1168",-10
"1169",-13
"1170",-3
"1171",-10
"1172",-2
"1173",-1
"1174",7
"1175",-21
"1176",-1
"1177",-3
"1178",-6
"1179",-13
"1180",-3
"1181",2
"1182",7
"1183",16
"1184",-4
"1185",0
"1186",-1
"1187",1
"1188",7
"1189",7
"1190",10
"1191",3
"1192",-2
"1193",1
"1194",2
"1195",4
"1196",2
"1197",14
"1198",-2
"1199",-1
"1200",0
"1201",-2
"1202",6
"1203",13
"1204",-8
"1205",11
"1206",1
"1207",5
"1208",-5
"1209",5
"1210",0
"1211",1
"1212",11
"1213",-2
"1214",16
"1215",-3
"1216",-7
"1217",2
"1218",7
"1219",5
"1220",-4
"1221",-11
"1222",0
"1223",-8
"1224",-9
"1225",7
"1226",-1
"1227",0
"1228",-6
"1229",5
"1230",6
"1231",9
"1232",-11
"1233",-8
"1234",-8
"1235",-11
"1236",-13
"1237",-4
"1238",-3
"1239",-3
"1240",0
"1241",-16
"1242",-12
"1243",9
"1244",7
"1245",3
"1246",-8
"1247",-3
"1248",-2
"1249",-7
"1250",6
"1251",8
"1252",-3
"1253",-3
"1254",-1
"1255",12
"1256",-16
"1257",-20
"1258",-10
"1259",-1
"1260",-2
"1261",-8
"1262",-4
"1263",-7
"1264",-6
"1265",0
"1266",-10
"1267",-16
"1268",-9
"1269",-7
"1270",2
"1271",-12
"1272",-3
"1273",14
"1274",-1
"1275",-6
"1276",6
"1277",6
"1278",-1
"1279",0
"1280",-4
"1281",-4
"1282",-7
"1283",8
"1284",11
"1285",-3
"1286",-8
"1287",-1
"1288",-3
"1289",-10
"1290",-2
"1291",-3
"1292",-3
"1293",-5
"1294",5
"1295",-5
"1296",1
"1297",4
"1298",5
"1299",11
"1300",-2
"1301",13
"1302",5
"1303",-8
"1304",3
"1305",1
"1306",7
"1307",-7
"1308",13
"1309",6
