"","Date","Team","Acquired","Relinquished","Notes"
"17306",2017-01-15,"Timberwolves","Zach LaVine","","activated from IL"
"17307",2017-01-15,"Mavericks","Nicolas Brussino","","activated from IL"
"17308",2017-01-16,"76ers","","Nerlens Noel","sprained left ankle (DTD)"
"17309",2017-01-16,"76ers","","T.J. McConnell","sprained right wrist (DTD)"
"17310",2017-01-16,"Blazers","Moe Harkless","","returned to lineup"
"17311",2017-01-16,"Celtics","Avery Bradley","","activated from IL"
"17312",2017-01-16,"Celtics","Avery Bradley","","returned to lineup"
"17313",2017-01-16,"Hawks","","Dwight Howard","rest (DTD)"
"17314",2017-01-16,"Jazz","","Rodney Hood","placed on IL with bruised right knee"
"17315",2017-01-16,"Jazz","Joe Johnson","","activated from IL"
"17316",2017-01-16,"Knicks","","Lance Thomas","fractured orbital bone (out indefinitely)"
"17317",2017-01-16,"Knicks","","Lance Thomas","placed on IL with fractured orbital bone"
"17318",2017-01-16,"Knicks","Marshall Plumlee","","activated from IL"
"17319",2017-01-16,"Nuggets","","Gary Harris","sprained right ankle (DTD)"
"17320",2017-01-16,"Pelicans","","Cheick Diallo","placed on IL"
"17321",2017-01-16,"Pelicans","Alex Ajinca","","activated from IL"
"17322",2017-01-16,"Suns","","Jared Dudley","dizziness (DTD)"
"17323",2017-01-16,"Suns","","Tyson Chandler","gastroenteritis (DTD)"
"17324",2017-01-16,"Thunder","","Steven Adams","concussion (DTD)"
"17325",2017-01-16,"Warriors","","Anderson Varejao","placed on IL"
"17326",2017-01-16,"Warriors","James McAdoo ","","activated from IL"
"17327",2017-01-17,"Blazers","","Ed Davis ","sprained left ankle (DTD)"
"17328",2017-01-17,"Bulls","","Taj Gibson","placed on IL with sore left ankle"
"17329",2017-01-17,"Bulls","Dwyane Wade","","returned to lineup"
"17330",2017-01-17,"Bulls","Nikola Mirotic","","activated from IL"
"17331",2017-01-17,"Heat","Willie Reed","","returned to lineup"
"17332",2017-01-17,"Kings","","Omri Casspi","strained right calf (DTD)"
"17333",2017-01-17,"Nets","","Chris McCullough","placed on IL"
"17334",2017-01-17,"Nets","Brook Lopez","","activated from IL"
"17335",2017-01-17,"Nuggets","","Gary Harris","placed on IL"
"17336",2017-01-17,"Nuggets","Alonzo Gee","","activated from IL"
"17337",2017-01-17,"Rockets","","Ryan Anderson","flu (DTD)"
"17338",2017-01-17,"Rockets","Clint Capela","","activated from IL"
"17339",2017-01-17,"Spurs","Patty Mills","","returned to lineup"
"17340",2017-01-17,"Clippers","","Chris Paul","torn ligament in left thumb (DTD)"
"17341",2017-01-17,"Clippers","","Chris Paul","surgery on left thumb to repair torn ligament (out indefinitely)"
"17342",2017-01-18,"76ers","Nerlens Noel","","returned to lineup"
"17343",2017-01-18,"76ers","T.J. McConnell","","returned to lineup"
"17344",2017-01-18,"Celtics","","Avery Bradley","sore right Achilles (DTD)"
"17345",2017-01-18,"Hawks","","Mike Muscala","placed on IL with sore/sprained left ankle"
"17346",2017-01-18,"Kings","","Omri Casspi","placed on IL with strained right calf"
"17347",2017-01-18,"Kings","","Ty Lawson","sprained left ankle (DTD)"
"17348",2017-01-18,"Kings","Skal Labissiere","","activated from IL"
"17349",2017-01-18,"Knicks","","Joakim Noah","placed on IL with sprained left ankle"
"17350",2017-01-18,"Magic","","Jodie Meeks","dislocated right thumb (DTD)"
"17351",2017-01-18,"Pistons","","Jon Leuer","placed on IL with bone bruise in right knee"
"17352",2017-01-18,"Pistons","Michael Gbinije","","activated from IL"
"17353",2017-01-18,"Raptors","","Lucas Nogueira","placed on IL with concussion"
"17354",2017-01-18,"Raptors","Jared Sullinger","","activated from IL"
"17355",2017-01-18,"Warriors","","David West","fractured left thumb (DTD)"
"17356",2017-01-18,"Warriors","","James McAdoo ","placed on IL"
"17357",2017-01-18,"Warriors","Anderson Varejao","","activated from IL"
"17358",2017-01-18,"Kings","","Rudy Gay","torn left Achilles tendon (out for season)"
"17359",2017-01-18,"Knicks","Kristaps Porzingis","","activated from IL"
"17360",2017-01-18,"Knicks","","Kristaps Porzingis","sore left Achilles (DTD)"
"17361",2017-01-19,"Cavaliers","","Kevin Love","sore lower back (DTD)"
"17362",2017-01-19,"Heat","","Justise Winslow","placed on IL recovering from surgery on right shoulder to repair torn labrum (out for season)"
"17363",2017-01-19,"Nuggets","","Danilo Gallinari","sprained right ankle (DTD)"
"17364",2017-01-19,"Nuggets","Gary Harris","","activated from IL"
"17365",2017-01-19,"Spurs",""," Tony Parker","sore left foot (DTD)"
"17366",2017-01-19,"Spurs","","Bryn Forbes","placed on IL"
"17367",2017-01-19,"Spurs","","Pau Gasol","fractured left ring finger (DTD)"
"17368",2017-01-19,"Spurs","Dejounte Murray","","activated from IL"
"17369",2017-01-19,"Suns","Brandon Knight","","returned to lineup"
"17370",2017-01-19,"Suns","Jared Dudley","","returned to lineup"
"17371",2017-01-19,"Suns","Tyson Chandler","","returned to lineup"
"17372",2017-01-19,"Kings","","Rudy Gay","surgery to repair torn left Achilles tendon (out for season)"
"17373",2017-01-20,"76ers","","Joel Embiid","bruised left knee (DTD)"
"17374",2017-01-20,"Blazers","Ed Davis ","","returned to lineup"
"17375",2017-01-20,"Bulls","","Isaiah Canaan","placed on IL"
"17376",2017-01-20,"Bulls","Taj Gibson","","activated from IL"
"17377",2017-01-20,"Grizzlies","","Chandler Parsons","rest (DTD)"
"17378",2017-01-20,"Jazz","","Rodney Hood","placed on IL"
"17379",2017-01-20,"Kings","","Rudy Gay","placed on IL recovering from surgery to repair torn left Achilles tendon (out for season)"
"17380",2017-01-20,"Kings","Giorgios Papagiannis ","","activated from IL"
"17381",2017-01-20,"Kings","Ty Lawson","","returned to lineup"
"17382",2017-01-20,"Magic","","C.J. Wilcox","tendinitis in knee / left Achilles tendon (DTD)"
"17383",2017-01-20,"Mavericks","","Jose Barea ","strained left calf (DTD)"
"17384",2017-01-20,"Pelicans","","Alex Ajinca","placed on IL"
"17385",2017-01-20,"Pelicans","Cheick Diallo","","activated from IL"
"17386",2017-01-20,"Raptors","","Patrick Patterson","placed on IL with sore left knee"
"17387",2017-01-20,"Raptors","Delon Wright","","activated from IL"
"17388",2017-01-20,"Rockets","Ryan Anderson","","returned to lineup"
"17389",2017-01-20,"Spurs","","Pau Gasol","surgery on left ring finger to repair fracture (out indefinitely)"
"17390",2017-01-20,"Warriors","","David West","placed on IL with fractured left thumb"
"17391",2017-01-20,"Warriors","James McAdoo ","","activated from IL"
"17392",2017-01-20,"Hornets","Christian Wood","","activated from IL"
"17393",2017-01-21,"76ers","","Joel Embiid","rest (DTD)"
"17394",2017-01-21,"Blazers","","Ed Davis ","sprained left ankle (DTD)"
"17395",2017-01-21,"Cavaliers","Kevin Love","","returned to lineup"
"17396",2017-01-21,"Celtics","","Avery Bradley","placed on IL with sore/strained right Achilles"
"17397",2017-01-21,"Celtics","","Demetrius Jackson","illness (DTD)"
"17398",2017-01-21,"Celtics","","Jonas Jerebko","placed on IL with illness"
"17399",2017-01-21,"Celtics","James Young","","activated from IL"
"17400",2017-01-21,"Grizzlies","","Troy Daniels","sprained MCL in right knee (DTD)"
"17401",2017-01-21,"Grizzlies","Chandler Parsons","","returned to lineup"
"17402",2017-01-21,"Heat","","Tyler Johnson","sprained/strained left shoulder (DTD)"
"17403",2017-01-21,"Hornets","","Jeremy Lamb","placed on IL with sore foot"
"17404",2017-01-21,"Jazz","Rodney Hood","","activated from IL"
"17405",2017-01-21,"Knicks","","Marshall Plumlee","placed on IL"
"17406",2017-01-21,"Knicks","Joakim Noah","","activated from IL"
"17407",2017-01-21,"Lakers","","D'Angelo Russell","strained left calf / sprained ligament in right knee (DTD)"
"17408",2017-01-21,"Nets","","Joe Harris","sprained left ankle (DTD)"
"17409",2017-01-21,"Nuggets","","Gary Harris","placed on IL"
"17410",2017-01-21,"Nuggets","Danilo Gallinari","","returned to lineup"
"17411",2017-01-21,"Nuggets","Darrell Arthur","","activated from IL"
"17412",2017-01-21,"Pistons","","Michael Gbinije","placed on IL with arm injury"
"17413",2017-01-21,"Pistons","Jon Leuer","","activated from IL"
"17414",2017-01-21,"Rockets","","Ryan Anderson","illness (DTD)"
"17415",2017-01-21,"Spurs","","Pau Gasol","placed on IL recovering from surgery on left ring finger to repair fracture"
"17416",2017-01-21,"Spurs","Bryn Forbes","","activated from IL"
"17417",2017-01-21,"Celtics","Tyler Zeller","","activated from IL"
"17418",2017-01-21,"Celtics","","Tyler Zeller","sinus infection (DTD)"
"17419",2017-01-21,"76ers","Richaun Holmes","","activated from IL"
"17420",2017-01-22,"Lakers","","D'Angelo Russell","placed on IL with strained left calf / sprained ligament in right knee"
"17421",2017-01-22,"Lakers","","Ron Artest","placed on IL"
"17422",2017-01-22,"Lakers","Larry Nance Jr.","","activated from IL"
"17423",2017-01-22,"Lakers","Luol Deng","","activated from IL"
"17424",2017-01-22,"Magic","","Jodie Meeks","placed on IL with dislocated right thumb (DTD)"
"17425",2017-01-22,"Mavericks","","Jose Barea ","strained left calf (DTD)"
"17426",2017-01-22,"Nuggets","","Emmanuel Mudiay","placed on IL with sore lower back"
"17427",2017-01-22,"Nuggets","Gary Harris","","activated from IL"
"17428",2017-01-22,"Raptors","","Delon Wright","placed on IL with right shoulder injury"
"17429",2017-01-22,"Raptors","","DeMar DeRozan","sprained right ankle (DTD)"
"17430",2017-01-22,"Raptors","Lucas Nogueira","","activated from IL"
"17431",2017-01-22,"Raptors","Patrick Patterson","","activated from IL"
"17432",2017-01-22,"Spurs","","Manu Ginobili","sore back / back spasms (DTD)"
"17433",2017-01-22,"Suns","","Dragan Bender","sore right ankle (DTD)"
"17434",2017-01-22,"Timberwolves","","Ricky Rubio","sore hip (DTD)"
"17435",2017-01-22,"Timberwolves","","Ricky Rubio","placed on IL for personal reasons"
"17436",2017-01-22,"Warriors","","Shaun Livingston","placed on IL for rest"
"17437",2017-01-22,"Warriors","Damian Jones","","activated from IL"
"17438",2017-01-23,"Celtics","","Gerald Green ","illness (DTD)"
"17439",2017-01-23,"Hornets","","Brian Roberts","illness (DTD)"
"17440",2017-01-23,"Mavericks","","Wes Matthews Jr.","strained right hip (DTD)"
"17441",2017-01-23,"Nets","","Joe Harris","placed on IL with sprained left ankle"
"17442",2017-01-23,"Pacers","","Aaron Brooks","placed on IL with sore right knee"
"17443",2017-01-23,"Pelicans","","Anthony Davis","placed on IL with bruised right quadriceps"
"17444",2017-01-23,"Pelicans","Alex Ajinca","","activated from IL"
"17445",2017-01-23,"Pistons","","Henry Ellenson","placed on IL"
"17446",2017-01-23,"Pistons","Kentavious Caldwell-Pope","","activated from IL"
"17447",2017-01-23,"Rockets","Ryan Anderson","","returned to lineup"
"17448",2017-01-23,"Spurs","","Kawhi Leonard","sore left hand (DTD)"
"17449",2017-01-23,"Thunder","Steven Adams","","returned to lineup"
"17450",2017-01-23,"Warriors","","Andre Iguodala","placed on IL for rest"
"17451",2017-01-23,"Warriors","Shaun Livingston","","activated from IL"
"17452",2017-01-23,"Nets","Chris McCullough","","activated from IL"
"17453",2017-01-23,"Pacers","Rakeem Christmas","","activated from IL"
"17454",2017-01-24,"76ers","","Jahlil Okafor","sore right knee (DTD)"
"17455",2017-01-24,"Celtics","","Gerald Green ","placed on IL with illness"
"17456",2017-01-24,"Celtics","Jonas Jerebko","","activated from IL"
"17457",2017-01-24,"Celtics","Tyler Zeller","","activated from IL"
"17458",2017-01-24,"Clippers","Blake Griffin","","activated from IL"
"17459",2017-01-24,"Magic","","D.J. Augustine","sprained right ankle (DTD)"
"17460",2017-01-24,"Magic","","Jodie Meeks","surgery on dislocated right thumb (out indefinitely)"
"17461",2017-01-24,"Raptors","","DeMar DeRozan","placed on IL with sprained right ankle"
"17462",2017-01-24,"Raptors","Lucas Nogueira","","activated from IL"
"17463",2017-01-24,"Raptors","Patrick Patterson","","returned to lineup"
"17464",2017-01-24,"Spurs",""," Tony Parker","placed on IL with sore left foot"
"17465",2017-01-24,"Spurs","","Jonathon Simmons","sprained right wrist (DTD)"
"17466",2017-01-24,"Spurs","Manu Ginobili","","returned to lineup"
"17467",2017-01-24,"Suns","","Jared Dudley","placed on IL with flu"
"17468",2017-01-24,"Suns","Derrick Jones Jr.","","activated from IL"
"17469",2017-01-24,"Timberwolves","Ricky Rubio","","activated from IL"
"17470",2017-01-24,"76ers","Joel Embiid","","returned to lineup"
"17471",2017-01-24,"76ers","","Joel Embiid","bruised left knee (DTD)"
"17472",2017-01-25,"Blazers","","Ed Davis ","sprained wrist / left ankle injury (DTD)"
"17473",2017-01-25,"Blazers","","Moe Harkless","strained left calf (DTD)"
"17474",2017-01-25,"Blazers","","Tim Quarterman","sprained left ankle (DTD)"
"17475",2017-01-25,"Celtics","","Demetrius Jackson","placed on IL with illness"
"17476",2017-01-25,"Celtics","Gerald Green ","","activated from IL"
"17477",2017-01-25,"Grizzlies","","Chandler Parsons","sore left knee (DTD)"
"17478",2017-01-25,"Grizzlies","","JaMychal Green","sore left knee (DTD)"
"17479",2017-01-25,"Hornets","","Cody Zeller","placed on IL with bruised quadriceps"
"17480",2017-01-25,"Hornets","Brian Roberts","","returned to lineup"
"17481",2017-01-25,"Hornets","Jeremy Lamb","","activated from IL"
"17482",2017-01-25,"Mavericks","","Deron Williams","sprained left big toe (DTD)"
"17483",2017-01-25,"Mavericks","","Jose Barea ","placed on IL with strained hamstring"
"17484",2017-01-25,"Mavericks","Andrew Bogut","","activated from IL"
"17485",2017-01-25,"Pelicans","","Cheick Diallo","placed on IL"
"17486",2017-01-25,"Pelicans","Anthony Davis","","activated from IL"
"17487",2017-01-25,"Rockets","","Eric Gordon","sore lower back / back spasms (DTD)"
"17488",2017-01-25,"Warriors","","Damian Jones","placed on IL"
"17489",2017-01-25,"Warriors","Andre Iguodala","","activated from IL"
"17490",2017-01-26,"Jazz","","Raul Neto","placed on IL"
"17491",2017-01-26,"Jazz","Rodney Hood","","activated from IL"
"17492",2017-01-26,"Lakers","","Julius Randle","illness (DTD)"
"17493",2017-01-26,"Mavericks","","Deron Williams","placed on IL with sprained left big toe"
"17494",2017-01-26,"Mavericks","","Dirk Nowitzki","rest (DTD)"
"17495",2017-01-26,"Pacers","","Kevin Seraphin","placed on IL with sore left knee"
"17496",2017-01-26,"Pacers","Aaron Brooks","","activated from IL"
"17497",2017-01-26,"Suns","","Dragan Bender","placed on IL with sore right ankle"
"17498",2017-01-26,"Suns","Jared Dudley","","activated from IL"
"17499",2017-01-26,"Thunder","","Enes Kanter","fractured right arm / hand (out indefinitely)"
"17500",2017-01-26,"Mavericks","A.J. Hammons","","activated from IL"
"17501",2017-01-27,"76ers","Joel Embiid","","returned to lineup"
"17502",2017-01-27,"Blazers","","Ed Davis ","placed on IL with sprained left wrist"
"17503",2017-01-27,"Blazers","Tim Quarterman","","activated from IL"
"17504",2017-01-27,"Cavaliers","Richard Jefferson","","returned to lineup"
"17505",2017-01-27,"Celtics","","Al Horford","groin injury (DTD)"
"17506",2017-01-27,"Celtics","","Al Horford","placed on IL with sore left groin"
"17507",2017-01-27,"Grizzlies","","Jarell Martin","placed on IL"
"17508",2017-01-27,"Grizzlies","Brandan Wright","","activated from IL"
"17509",2017-01-27,"Grizzlies","Chandler Parsons","","returned to lineup"
"17510",2017-01-27,"Grizzlies","JaMychal Green","","returned to lineup"
"17511",2017-01-27,"Hawks","Mike Muscala","","activated from IL"
"17512",2017-01-27,"Heat","","Hassan Whiteside","ankle injury (DTD)"
"17513",2017-01-27,"Hornets","Jeremy Lamb","","activated from IL"
"17514",2017-01-27,"Magic","","C.J. Wilcox","left ankle / Achilles tendinitis (DTD)"
"17515",2017-01-27,"Magic","","Evan Fournier","sore right foot (DTD)"
"17516",2017-01-27,"Magic","D.J. Augustine","","returned to lineup"
"17517",2017-01-27,"Nets","","Brook Lopez","rest (DTD)"
"17518",2017-01-27,"Nets","","Caris LeVert","rest (DTD)"
"17519",2017-01-27,"Nets","","Trevor Booker","illness (DTD)"
"17520",2017-01-27,"Nuggets","","Nikola Jokic","strained left hip flexor (DTD)"
"17521",2017-01-27,"Spurs","","Jonathon Simmons","placed on IL with sprained right wrist"
"17522",2017-01-27,"Spurs"," Tony Parker","","activated from IL"
"17523",2017-01-27,"Spurs","Kawhi Leonard","","returned to lineup"
"17524",2017-01-27,"Thunder","","Enes Kanter","surgery on right arm / hand to repair fracture (out indefinitely)"
"17525",2017-01-27,"Celtics","Demetrius Jackson","","returned to lineup"
"17526",2017-01-27,"Pistons","Michael Gbinije","","activated from IL"
"17527",2017-01-28,"Clippers","","Chris Paul","placed on IL recoverimg from surgery on left thumb to repair torn ligament"
"17528",2017-01-28,"Grizzlies","","Deyonta Davis","left foot injury (DTD)"
"17529",2017-01-28,"Grizzlies","Troy Daniels","","returned to lineup"
"17530",2017-01-28,"Hawks","","Thabo Sefolosha","groin injury (DTD)"
"17531",2017-01-28,"Heat","Hassan Whiteside","","returned to lineup"
"17532",2017-01-28,"Hornets","","Jeremy Lamb","metatarsal inflammation (DTD)"
"17533",2017-01-28,"Knicks","","Derrick Rose","sprained left ankle (DTD)"
"17534",2017-01-28,"Nets","Brook Lopez","","returned to lineup"
"17535",2017-01-28,"Nets","Caris LeVert","","returned to lineup"
"17536",2017-01-28,"Nets","Trevor Booker","","returned to lineup"
"17537",2017-01-29,"76ers","","Joel Embiid","rest (DTD)"
"17538",2017-01-29,"Blazers","","Tim Quarterman","placed on IL"
"17539",2017-01-29,"Blazers","Moe Harkless","","returned to lineup"
"17540",2017-01-29,"Bulls","","Taj Gibson","placed on IL with sore left ankle"
"17541",2017-01-29,"Bulls","Isaiah Canaan","","activated from IL"
"17542",2017-01-29,"Hawks","","Thabo Sefolosha","placed on IL with groin injury (DTD)"
"17543",2017-01-29,"Knicks","","Derrick Rose","placed on IL with sprained left ankle"
"17544",2017-01-29,"Knicks","Marshall Plumlee","","activated from IL"
"17545",2017-01-29,"Magic","","C.J. Wilcox","left Achilles tendinitis (DTD)"
"17546",2017-01-29,"Mavericks","Dirk Nowitzki","","returned to lineup"
"17547",2017-01-29,"Mavericks","Wes Matthews Jr.","","returned to lineup"
"17548",2017-01-29,"Raptors","DeMar DeRozan","","activated from IL"
"17549",2017-01-29,"Rockets","Eric Gordon","","returned to lineup"
"17550",2017-01-29,"Thunder","","Enes Kanter","placed on IL recovering from surgery on right arm / hand to repair fracture"
"17551",2017-01-29,"Thunder","Semaj Christon","","activated from IL"
"17552",2017-01-29,"Warriors","","Stephen Curry","placed on IL with stomach flu"
"17553",2017-01-29,"Warriors","Damian Jones","","activated from IL"
"17554",2017-01-29,"Blazers","Ed Davis ","","activated from IL"
"17555",2017-01-29,"Blazers","Tim Quarterman","","returned to lineup"
"17556",2017-01-29,"Blazers","","Ed Davis ","left wrist injury"
"17557",2017-01-29,"Raptors","","Bruno Caboclo","placed on IL"
"17558",2017-01-30,"76ers","","Joel Embiid","bruised left knee (out for season)"
"17559",2017-01-30,"76ers","Jahlil Okafor","","returned to lineup"
"17560",2017-01-30,"Cavaliers","","Kevin Love","lower back spasms (DTD)"
"17561",2017-01-30,"Celtics","Al Horford","","activated from IL"
"17562",2017-01-30,"Grizzlies","","Deyonta Davis","placed on IL with left foot injury"
"17563",2017-01-30,"Grizzlies","Brandan Wright","","activated from IL"
"17564",2017-01-30,"Grizzlies","Wade Baldwin IV","","activated from IL"
"17565",2017-01-30,"Heat","Tyler Johnson","","returned to lineup"
"17566",2017-01-30,"Lakers","","Julius Randle","pneumonia (DTD)"
"17567",2017-01-30,"Magic","Evan Fournier","","returned to lineup"
"17568",2017-01-30,"Mavericks","","Andrew Bogut","strained right hamstring (DTD)"
"17569",2017-01-31,"Hornets","Jeremy Lamb","","returned to lineup"
"17570",2017-01-31,"Knicks","","Kristaps Porzingis","illness (DTD)"
"17571",2017-01-31,"Lakers","","Julius Randle","placed on IL with pneumonia"
"17572",2017-01-31,"Lakers","D'Angelo Russell","","activated from IL"
"17573",2017-01-31,"Nuggets","","Will Barton","sore left ankle (DTD)"
"17574",2017-01-31,"Pelicans","","Tyreke Evans","left ankle injury (DTD)"
"17575",2017-01-31,"Raptors","","DeMar DeRozan","placed on IL with sore right ankle"
"17576",2017-01-31,"Raptors","Delon Wright","","activated from IL"
"17577",2017-01-31,"Spurs","","Bryn Forbes","placed on IL"
"17578",2017-01-31,"Spurs","Jonathon Simmons","","returned to lineup"
"17579",2017-02-01,"76ers","","Robert Covington","bruised right hand/wrist (DTD)"
"17580",2017-02-01,"Bucks","","Rashad Vaughn","placed on IL"
"17581",2017-02-01,"Bucks","Steve Novak","","activated from IL"
"17582",2017-02-01,"Bulls","","Denzel Valentine","placed on IL"
"17583",2017-02-01,"Bulls","Taj Gibson","","activated from IL"
"17584",2017-02-01,"Celtics","","Kelly Olynyk","sore/strained left shoulder (DTD)"
"17585",2017-02-01,"Grizzlies","","Wade Baldwin IV","placed on IL"
"17586",2017-02-01,"Grizzlies","Deyonta Davis","","activated from IL"
"17587",2017-02-01,"Jazz","","Derrick Favors","placed on IL"
"17588",2017-02-01,"Jazz","","Rodney Hood","hyperextended right knee (DTD)"
"17589",2017-02-01,"Jazz","Raul Neto","","activated from IL"
"17590",2017-02-01,"Knicks","Kristaps Porzingis","","returned to lineup"
"17591",2017-02-01,"Nets","","Chris McCullough","placed on IL"
"17592",2017-02-01,"Nets","Joe Harris","","activated from IL"
"17593",2017-02-01,"Nuggets","","Nikola Jokic","placed on IL with strained left hip flexor"
"17594",2017-02-01,"Nuggets","","Will Barton","placed on IL with sore left ankle"
"17595",2017-02-01,"Nuggets","Emmanuel Mudiay","","activated from IL"
"17596",2017-02-01,"Pacers","","Georges Niang","placed on IL"
"17597",2017-02-01,"Pacers","","Rakeem Christmas","placed on IL with right groin injury"
"17598",2017-02-01,"Pacers","Kevin Seraphin","","activated from IL"
"17599",2017-02-01,"Pacers","Rodney Stuckey","","activated from IL"
"17600",2017-02-01,"Pelicans","Tyreke Evans","","returned to lineup"
"17601",2017-02-01,"Suns","","Jared Dudley","placed on IL with illness"
"17602",2017-02-01,"Suns","","Ronnie Price","placed on IL"
"17603",2017-02-01,"Suns","Dragan Bender","","activated from IL"
"17604",2017-02-01,"Thunder","","Alex Abrines","placed on IL with back spasms"
"17605",2017-02-01,"Thunder","Josh Huestis","","activated from IL"
"17606",2017-02-01,"Warriors","","Shaun Livingston","strained back (DTD)"
"17607",2017-02-01,"Warriors","","Zaza Pachulia","strained right rotator cuff (DTD)"
"17608",2017-02-01,"Warriors","Stephen Curry","","activated from IL"
"17609",2017-02-02,"76ers","","Joel Embiid","rest (DTD)"
"17610",2017-02-02,"76ers","","Nerlens Noel","upper respiratory infection (DTD)"
"17611",2017-02-02,"Kings","","Garrett Temple","torn left hamstring (DTD)"
"17612",2017-02-02,"Lakers","","Thomas Robinson","placed on IL"
"17613",2017-02-02,"Lakers","Julius Randle","","activated from IL"
"17614",2017-02-02,"Nuggets","","Danilo Gallinari","strained groin (DTD)"
"17615",2017-02-02,"Pacers","","Rodney Stuckey","sprained right ankle (DTD)"
"17616",2017-02-02,"Spurs","","LaMarcus Aldridge","placed on IL with sore right knee"
"17617",2017-02-02,"Spurs","Bryn Forbes","","activated from IL"
"17618",2017-02-02,"Warriors","","Draymond Green","bruised left shoulder (DTD)"
"17619",2017-02-02,"Warriors","","Shaun Livingston","placed on IL with strained back"
"17620",2017-02-02,"Warriors","","Zaza Pachulia","placed on IL with strained right rotator cuff"
"17621",2017-02-03,"Blazers","Ed Davis ","","returned to lineup"
"17622",2017-02-03,"Bulls","","Jimmy Butler","bruised right heel (DTD)"
"17623",2017-02-03,"Celtics","Kelly Olynyk","","returned to lineup"
"17624",2017-02-03,"Hornets","","Ramon Sessions","torn lateral meniscus in left knee (out indefinitely)"
"17625",2017-02-03,"Kings","","Arron Afflalo","illness (DTD)"
"17626",2017-02-03,"Lakers","","Julius Randle","illness (DTD)"
"17627",2017-02-03,"Mavericks","","Andrew Bogut","placed on IL with strained right hamstring"
"17628",2017-02-03,"Mavericks","","Devin Harris","illness (DTD)"
"17629",2017-02-03,"Nuggets","","Danilo Gallinari","placed on IL with strained groin"
"17630",2017-02-03,"Nuggets","","Johnny O'Bryant III","placed on IL"
"17631",2017-02-03,"Nuggets","Nikola Jokic","","activated from IL"
"17632",2017-02-03,"Nuggets","Will Barton","","activated from IL"
"17633",2017-02-03,"Pacers","","Rodney Stuckey","placed on IL with sprained right ankle"
"17634",2017-02-03,"Pacers","Georges Niang","","activated from IL"
"17635",2017-02-03,"Rockets","","Nene Hilario ","sore groin (DTD)"
"17636",2017-02-03,"Suns","","Dragan Bender","placed on IL with right ankle injury"
"17637",2017-02-03,"Suns","Ronnie Price","","activated from IL"
"17638",2017-02-03,"Timberwolves","","Adreian Payne","thrombocytopenia (blood disorder) (DTD)"
"17639",2017-02-03,"Timberwolves","","Kris Dunn","right hand injury (DTD)"
"17640",2017-02-03,"Timberwolves","","Zach LaVine","torn ACL in left knee (out for season)"
"17641",2017-02-03,"Mavericks","Deron Williams","","activated from IL"
"17642",2017-02-03,"Mavericks","","Deron Williams","sprained right big toe (DTD)"
"17643",2017-02-04,"76ers","","Jahlil Okafor","knee injury (DTD)"
"17644",2017-02-04,"76ers","","Joel Embiid","sore left knee (out for seaon)"
"17645",2017-02-04,"76ers","Nerlens Noel","","returned to lineup"
"17646",2017-02-04,"Bucks","","Roy Hibbert","placed on IL"
"17647",2017-02-04,"Bucks","Rashad Vaughn","","activated from IL"
"17648",2017-02-04,"Bulls","","Cristiano Felicio","right leg injury (DTD)"
"17649",2017-02-04,"Cavaliers","","Kyrie Irving","bruised right quadriceps (DTD)"
"17650",2017-02-04,"Cavaliers","Kevin Love","","returned to lineup"
"17651",2017-02-04,"Grizzlies","","Chandler Parsons","DNP"
"17652",2017-02-04,"Grizzlies","","Marc Gasol","rest (DTD)"
"17653",2017-02-04,"Jazz","","Rodney Hood","placed on IL with right knee injury"
"17654",2017-02-04,"Jazz","Derrick Favors","","activated from IL"
"17655",2017-02-04,"Kings","","Garrett Temple","placed on IL with torn left hamstring"
"17656",2017-02-04,"Kings","Arron Afflalo","","returned to lineup"
"17657",2017-02-04,"Nuggets","","Darrell Arthur","placed on IL"
"17658",2017-02-04,"Pacers","","Thaddeus Young","placed on IL with sprained left wrist"
"17659",2017-02-04,"Pacers","Rakeem Christmas","","activated from IL"
"17660",2017-02-04,"Raptors","","Patrick Patterson","bruised left knee (DTD)"
"17661",2017-02-04,"Spurs","LaMarcus Aldridge","","activated from IL"
"17662",2017-02-04,"Suns","","Ronnie Price","placed on IL"
"17663",2017-02-04,"Suns","Jared Dudley","","activated from IL"
"17664",2017-02-04,"Timberwolves","","Zach LaVine","placed on IL with torn ACL in left knee (out for season)"
"17665",2017-02-04,"Warriors","Draymond Green","","returned to lineup"
"17666",2017-02-04,"Warriors","Shaun Livingston","","activated from IL"
"17667",2017-02-04,"Spurs","","Bryn Forbes","placed on IL"
"17668",2017-02-05,"Nets","","Caris LeVert","sore right knee (DTD)"
"17669",2017-02-05,"Thunder","Alex Abrines","","activated from IL"
"17670",2017-02-05,"Thunder","","Josh Huestis","placed on IL"
"17671",2017-02-06,"76ers","","Joel Embiid","bruised left knee (out for season)"
"17672",2017-02-06,"76ers","Jahlil Okafor","","returned to lineup"
"17673",2017-02-06,"76ers","Robert Covington","","returned to lineup"
"17674",2017-02-06,"Bulls","","Cristiano Felicio","placed on IL with strained lower right leg"
"17675",2017-02-06,"Bulls","Denzel Valentine","","activated from IL"
"17676",2017-02-06,"Cavaliers","Kyrie Irving","","returned to lineup"
"17677",2017-02-06,"Grizzlies","Chandler Parsons","","returned to lineup"
"17678",2017-02-06,"Grizzlies","Marc Gasol","","returned to lineup"
