"","x"
"860",4
"861",5
"862",6
"863",-4
"864",13
"865",4
"866",1
"867",-2
"868",4
"869",-2
"870",-6
"871",5
"872",0
"873",-3
"874",-4
"875",-6
"876",6
"877",0
"878",3
"879",8
"880",12
"881",-3
"882",-4
"883",7
"884",-2
"885",0
"886",-7
"887",-7
"888",-3
"889",0
"890",2
"891",-3
"892",-4
"893",-7
"894",0
"895",-1
"896",-7
"897",3
"898",0
"899",-5
"900",3
"901",-1
"902",-4
"903",3
"904",-2
"905",-3
"906",-3
"907",1
"908",9
"909",2
"910",0
"911",0
"912",7
"913",-1
"914",-1
"915",1
"916",1
"917",-3
"918",0
"919",7
"920",7
"921",6
"922",2
"923",0
"924",4
"925",12
"926",-5
"927",4
"928",-9
"929",2
"930",2
"931",-4
"932",2
"933",-5
"934",3
"935",-1
"936",2
"937",8
"938",-3
"939",-10
"940",-2
"941",-1
"942",2
"943",-3
"944",6
"945",-2
"946",0
"947",-9
"948",1
"949",-3
"950",6
"951",2
"952",6
"953",-9
"954",0
"955",-2
"956",-5
"957",4
"958",10
"959",6
"960",9
"961",-3
"962",1
"963",-4
"964",3
"965",-1
"966",-7
"967",-3
"968",-4
"969",3
"970",3
"971",3
"972",0
"973",6
"974",-6
"975",-6
"976",-8
"977",1
"978",-7
"979",-3
"980",-11
"981",-3
"982",0
"983",7
"984",-2
"985",-2
"986",0
"987",-1
"988",2
"989",-5
"990",5
"991",-4
"992",-3
"993",-5
"994",7
"995",0
"996",-1
"997",-6
"998",-7
"999",13
"1000",2
"1001",-1
"1002",-4
"1003",1
"1004",8
"1005",-7
"1006",-4
"1007",-6
"1008",0
"1009",1
"1010",-6
"1011",-3
"1012",0
"1013",3
"1014",7
"1015",4
"1016",5
"1017",2
"1018",0
"1019",-4
"1020",-1
"1021",-4
"1022",-5
"1023",-1
"1024",-1
"1025",0
"1026",0
"1027",-1
"1028",6
"1029",9
"1030",-6
"1031",-6
"1032",-10
"1033",5
"1034",-2
"1035",0
"1036",2
"1037",-3
"1038",-4
"1039",-2
"1040",0
"1041",-1
"1042",4
"1043",-1
"1044",-5
"1045",5
"1046",-3
"1047",-6
"1048",7
"1049",3
"1050",-3
"1051",2
"1052",1
"1053",0
"1054",0
"1055",-7
"1056",0
"1057",-2
"1058",-11
"1059",4
"1060",3
"1061",-6
"1062",-2
"1063",0
"1064",-2
"1065",0
"1066",-1
"1067",-5
"1068",-1
"1069",1
"1070",-2
"1071",0
"1072",-2
"1073",2
"1074",-3
"1075",5
"1076",-5
"1077",-5
"1078",-1
"1079",-2
"1080",8
"1081",-2
"1082",0
"1083",2
"1084",1
"1085",11
"1086",-3
"1087",-3
"1088",-3
"1089",0
"1090",-8
"1091",-1
"1092",2
"1093",-1
"1094",5
"1095",-3
"1096",-3
"1097",-6
"1098",-3
"1099",0
"1100",-2
"1101",1
"1102",-8
"1103",2
"1104",0
"1105",2
"1106",-7
"1107",6
"1108",1
"1109",-2
"1110",1
"1111",-8
"1112",-7
"1113",4
"1114",11
"1115",2
"1116",8
"1117",5
"1118",-5
"1119",2
"1120",7
"1121",-4
"1122",-2
"1123",-3
"1124",0
"1125",-1
"1126",-6
"1127",-4
"1128",-1
"1129",-4
"1130",-3
"1131",5
"1132",-10
"1133",2
"1134",-2
"1135",-7
"1136",-5
"1137",-3
"1138",-2
"1139",-6
"1140",3
"1141",-11
"1142",-12
"1143",0
"1144",-2
"1145",-8
"1146",0
"1147",-3
"1148",2
"1149",5
"1150",-3
"1151",3
"1152",5
"1153",1
"1154",-1
"1155",4
"1156",3
"1157",-9
"1158",3
"1159",-1
"1160",6
"1161",-1
"1162",-4
"1163",-1
"1164",0
"1165",-5
"1166",7
"1167",-4
"1168",-1
"1169",-3
"1170",-2
"1171",7
"1172",9
"1173",8
"1174",2
"1175",5
"1176",4
"1177",5
"1178",1
"1179",2
"1180",3
"1181",-2
"1182",-5
"1183",0
"1184",-2
"1185",1
"1186",-3
"1187",-3
"1188",7
"1189",7
"1190",-3
"1191",2
"1192",2
"1193",7
"1194",0
"1195",-2
"1196",6
"1197",-2
"1198",-3
"1199",2
"1200",3
"1201",-4
"1202",5
"1203",8
"1204",4
"1205",-5
"1206",0
"1207",7
"1208",0
"1209",2
"1210",-7
"1211",-5
"1212",0
"1213",6
"1214",2
"1215",-6
"1216",-4
"1217",6
"1218",-5
"1219",0
"1220",-3
"1221",-5
"1222",5
"1223",9
"1224",1
"1225",0
"1226",-4
"1227",-3
"1228",1
"1229",-2
"1230",8
"1231",1
"1232",2
"1233",3
"1234",-1
"1235",6
"1236",-3
"1237",3
"1238",-6
"1239",2
"1240",-10
"1241",2
"1242",5
"1243",13
"1244",4
"1245",8
"1246",1
"1247",6
"1248",5
"1249",-1
"1250",-2
"1251",-4
"1252",-5
"1253",5
"1254",5
"1255",-2
"1256",-5
"1257",-4
"1258",-7
"1259",5
"1260",-1
"1261",2
"1262",6
"1263",2
"1264",-6
"1265",1
"1266",10
"1267",8
"1268",-4
"1269",-2
"1270",4
"1271",3
"1272",-5
"1273",-3
"1274",-6
"1275",6
"1276",-1
"1277",1
"1278",2
"1279",-7
"1280",-7
"1281",3
"1282",3
"1283",6
"1284",5
"1285",1
"1286",5
"1287",3
"1288",-2
"1289",-12
"1290",-1
"1291",-1
"1292",2
"1293",-3
"1294",1
"1295",3
"1296",-1
"1297",-1
"1298",-1
"1299",3
"1300",-1
"1301",2
"1302",-3
"1303",-6
"1304",-14
"1305",-7
"1306",-1
"1307",6
"1308",8
"1309",-4
