"","Date_of_game","Team1","Team2","Pointspread","Score1","Score2","scorediff","Location"
"169","2017-04-10","BOSTON CELTICS","BROOKLYN NETS",-10.5,114,105,9,"H"
"170","2017-04-12","BOSTON CELTICS","MILWAUKEE BUCKS",-14,112,94,18,"H"
"171","2017-04-16","BOSTON CELTICS","CHICAGO BULLS",-7,102,106,-4,"H"
"172","2017-04-18","BOSTON CELTICS","CHICAGO BULLS",-7.5,97,111,-14,"H"
"173","2017-04-21","BOSTON CELTICS","CHICAGO BULLS",-2.5,104,87,17,"V"
"174","2017-04-23","BOSTON CELTICS","CHICAGO BULLS",-2,104,95,9,"V"
"175","2017-04-26","BOSTON CELTICS","CHICAGO BULLS",-7.5,108,97,11,"H"
"176","2017-04-28","BOSTON CELTICS","CHICAGO BULLS",-3,105,83,22,"V"
"177","2017-04-30","BOSTON CELTICS","WASHINGTON WIZARDS",-4.5,123,111,12,"H"
"178","2017-05-02","BOSTON CELTICS","WASHINGTON WIZARDS",-5,129,119,10,"H"
"179","2017-05-04","BOSTON CELTICS","WASHINGTON WIZARDS",5.5,89,116,-27,"V"
"180","2017-05-07","BOSTON CELTICS","WASHINGTON WIZARDS",4.5,102,121,-19,"V"
"181","2017-05-10","BOSTON CELTICS","WASHINGTON WIZARDS",-4.5,123,101,22,"H"
"182","2017-05-12","BOSTON CELTICS","WASHINGTON WIZARDS",5,91,92,-1,"V"
"183","2017-05-15","BOSTON CELTICS","WASHINGTON WIZARDS",-5,115,105,10,"H"
"184","2017-05-17","BOSTON CELTICS","CLEVELAND CAVALIERS",4.5,104,117,-13,"H"
"185","2017-05-19","BOSTON CELTICS","CLEVELAND CAVALIERS",5,86,130,-44,"H"
"186","2017-05-21","BOSTON CELTICS","CLEVELAND CAVALIERS",16.5,111,108,3,"V"
"187","2017-05-23","BOSTON CELTICS","CLEVELAND CAVALIERS",15.5,99,112,-13,"V"
"188","2017-05-25","BOSTON CELTICS","CLEVELAND CAVALIERS",9.5,102,135,-33,"H"
"189","2016-10-26","BROOKLYN NETS","BOSTON CELTICS",11.5,117,122,-5,"V"
"190","2016-10-28","BROOKLYN NETS","INDIANA PACERS",6,103,94,9,"H"
"191","2016-10-29","BROOKLYN NETS","MILWAUKEE BUCKS",8,108,110,-2,"V"
"192","2016-10-31","BROOKLYN NETS","CHICAGO BULLS",6.5,88,118,-30,"H"
"193","2016-11-02","BROOKLYN NETS","DETROIT PISTONS",4,109,101,8,"H"
"194","2016-11-04","BROOKLYN NETS","CHARLOTTE HORNETS",6.5,95,99,-4,"H"
"195","2016-11-08","BROOKLYN NETS","MINNESOTA TIMBERWOLVES",4,119,110,9,"H"
"196","2016-11-09","BROOKLYN NETS","NEW YORK KNICKS",8,96,110,-14,"V"
"197","2016-11-12","BROOKLYN NETS","PHOENIX SUNS",4.5,122,104,18,"V"
"198","2016-11-14","BROOKLYN NETS","LOS ANGELES CLIPPERS",16,95,127,-32,"V"
"199","2016-11-15","BROOKLYN NETS","LOS ANGELES LAKERS",7,118,125,-7,"V"
"200","2016-11-18","BROOKLYN NETS","OKLAHOMA CITY THUNDER",9.5,105,124,-19,"V"
"201","2016-11-20","BROOKLYN NETS","PORTLAND TRAIL BLAZERS",4.5,109,129,-20,"H"
"202","2016-11-23","BROOKLYN NETS","BOSTON CELTICS",7.5,92,111,-19,"H"
"203","2016-11-25","BROOKLYN NETS","INDIANA PACERS",5.5,97,118,-21,"V"
"204","2016-11-27","BROOKLYN NETS","SACRAMENTO KINGS",4.5,105,122,-17,"H"
"205","2016-11-29","BROOKLYN NETS","LOS ANGELES CLIPPERS",11.5,127,122,5,"H"
"206","2016-12-01","BROOKLYN NETS","MILWAUKEE BUCKS",5.5,93,111,-18,"H"
"207","2016-12-03","BROOKLYN NETS","MILWAUKEE BUCKS",9,103,112,-9,"V"
"208","2016-12-05","BROOKLYN NETS","WASHINGTON WIZARDS",6,113,118,-5,"H"
"209","2016-12-07","BROOKLYN NETS","DENVER NUGGETS",4.5,116,111,5,"H"
"210","2016-12-10","BROOKLYN NETS","SAN ANTONIO SPURS",15.5,101,130,-29,"V"
"211","2016-12-12","BROOKLYN NETS","HOUSTON ROCKETS",13.5,118,122,-4,"V"
"212","2016-12-14","BROOKLYN NETS","LOS ANGELES LAKERS",1,107,97,10,"H"
"213","2016-12-16","BROOKLYN NETS","ORLANDO MAGIC",6.5,111,118,-7,"V"
"214","2016-12-18","BROOKLYN NETS","PHILADELPHIA 76ERS",1.5,107,108,-1,"V"
"215","2016-12-20","BROOKLYN NETS","TORONTO RAPTORS",15,104,116,-12,"V"
"216","2016-12-22","BROOKLYN NETS","GOLDEN STATE WARRIORS",15.5,101,117,-16,"H"
