"","x"
"999",3
"1000",-1
"1001",2
"1002",-7
"1003",2
"1004",-4
"1005",-6
"1006",5
"1007",-6
"1008",5
"1009",-7
"1010",-1
"1011",5
"1012",1
"1013",5
"1014",2
"1015",15
"1016",2
"1017",2
"1018",-1
"1019",-1
"1020",-8
"1021",-12
"1022",-7
"1023",7
"1024",-2
"1025",-4
"1026",-7
"1027",-4
"1028",8
"1029",-12
"1030",8
"1031",-3
"1032",3
"1033",4
"1034",5
"1035",12
"1036",-2
"1037",-1
"1038",-2
"1039",5
"1040",14
"1041",10
"1042",2
"1043",9
"1044",-8
"1045",-1
"1046",8
"1047",2
"1048",1
"1049",-8
"1050",-2
"1051",7
"1052",1
"1053",-6
"1054",-5
"1055",4
"1056",1
"1057",-13
"1058",4
"1059",0
"1060",-4
"1061",-2
"1062",-6
"1063",-2
"1064",-5
"1065",7
"1066",0
"1067",-6
"1068",1
"1069",1
"1070",9
"1071",-10
"1072",10
"1073",8
"1074",1
"1075",-1
"1076",-4
"1077",7
"1078",-4
"1079",18
"1080",0
"1081",-6
"1082",4
"1083",-3
"1084",-8
"1085",-7
"1086",5
"1087",-2
"1088",2
"1089",-4
"1090",-5
"1091",-1
"1092",-7
"1093",-1
"1094",-12
"1095",-7
"1096",2
"1097",2
"1098",7
"1099",7
"1100",3
"1101",1
"1102",-1
"1103",10
"1104",4
"1105",8
"1106",-9
"1107",2
"1108",-3
"1109",-5
"1110",-9
"1111",2
"1112",0
"1113",-2
"1114",-1
"1115",8
"1116",-2
"1117",-6
"1118",3
"1119",7
"1120",0
"1121",5
"1122",-7
"1123",-9
"1124",12
"1125",4
"1126",7
"1127",-9
"1128",3
"1129",-1
"1130",0
"1131",2
"1132",10
"1133",-9
"1134",10
"1135",10
"1136",3
"1137",-6
"1138",5
"1139",12
"1140",-10
"1141",6
"1142",-2
"1143",-1
"1144",0
"1145",10
"1146",-7
"1147",-2
"1148",9
"1149",0
"1150",-2
"1151",1
"1152",-8
"1153",0
"1154",-10
"1155",-3
"1156",-2
"1157",-5
"1158",-2
"1159",5
"1160",-17
"1161",10
"1162",3
"1163",-7
"1164",2
"1165",-6
"1166",-4
"1167",10
"1168",5
"1169",8
"1170",8
"1171",2
"1172",-2
"1173",1
"1174",-4
"1175",1
"1176",0
"1177",5
"1178",7
"1179",-3
"1180",1
"1181",-3
"1182",-9
"1183",-9
"1184",3
"1185",-2
"1186",-6
"1187",-2
"1188",7
"1189",-2
"1190",12
"1191",-14
"1192",-3
"1193",-5
"1194",3
"1195",-8
"1196",-8
"1197",-8
"1198",-4
"1199",7
"1200",5
"1201",8
"1202",-2
"1203",-7
"1204",18
"1205",-8
"1206",1
"1207",-2
"1208",8
"1209",3
"1210",-11
"1211",1
"1212",0
"1213",2
"1214",-7
"1215",2
"1216",3
"1217",2
"1218",-2
"1219",7
"1220",8
"1221",6
"1222",-10
"1223",-7
"1224",6
"1225",7
"1226",-5
"1227",-6
"1228",-5
"1229",10
"1230",-8
"1231",4
"1232",-10
"1233",15
"1234",-2
"1235",9
"1236",-7
"1237",-4
"1238",1
"1239",-5
"1240",-1
"1241",5
"1242",8
"1243",3
"1244",0
"1245",-4
"1246",-5
"1247",12
"1248",2
"1249",9
"1250",-10
"1251",-4
"1252",6
"1253",-4
"1254",-4
"1255",-12
"1256",2
"1257",-9
"1258",-4
"1259",0
"1260",3
"1261",10
"1262",1
"1263",-9
"1264",-8
"1265",-9
"1266",-3
"1267",4
"1268",11
"1269",10
"1270",-1
"1271",2
"1272",-3
"1273",-7
"1274",1
"1275",5
"1276",0
"1277",3
"1278",-5
"1279",-11
"1280",-4
"1281",-4
"1282",-1
"1283",-1
"1284",-8
"1285",-13
"1286",-2
"1287",-1
"1288",10
"1289",-6
"1290",-6
"1291",0
"1292",-8
"1293",-2
"1294",-2
"1295",24
"1296",10
"1297",-3
"1298",2
"1299",2
"1300",-8
"1301",1
"1302",2
"1303",-9
"1304",-2
"1305",0
"1306",-21
"1307",-7
"1308",-3
"1309",8
