"","X.3","X.2","Rk","G","Date","X","Opp","W.L","Tm","Opp.1","TeamFG","TeamFGA","TeamFG.","Team3P","Team3PA","Team3P.","TeamFT","TeamFTA","TeamFT.","TeamORB","TeamTRB","TeamAST","TeamSTL","TeamBLK","TeamTOV","TeamPF","X.1","OppoFG","OppoFGA","OppoFG.","Oppo3P","Oppo3PA","Oppo3P.","OppoFT","OppoFTA","OppoFT.","OppoORB","OppoTRB","OppoAST","OppoSTL","OppoBLK","OppoTOV","OppoPF","Tm1","TPdiff","TRBdiff","FTdiff","ASTdiff","BLKdiff","TOVdiff"
"34",45,45,45,45,"2017-01-23","","LOS ANGELES CLIPPERS","L",105,115,37,88,0.42,9,29,0.31,22,26,0.846,8,40,28,8,2,8,17,NA,42,84,0.5,14,24,0.583,17,22,0.773,10,46,23,4,8,11,19,"ATLANTA HAWKS",-5,-6,5,5,-6,-3
"35",56,56,56,56,"2017-02-15","@","LOS ANGELES CLIPPERS","L",84,99,32,79,0.405,7,26,0.269,13,19,0.684,10,45,20,5,1,20,13,NA,37,79,0.468,14,37,0.378,11,12,0.917,5,40,24,18,3,16,17,"ATLANTA HAWKS",-7,5,2,-4,-2,4
"36",4,4,4,4,"2016-11-02","","LOS ANGELES LAKERS","L",116,123,41,85,0.482,11,32,0.344,23,29,0.793,10,37,30,10,1,18,19,NA,48,90,0.533,9,22,0.409,18,20,0.9,11,42,24,11,9,15,25,"ATLANTA HAWKS",2,-5,5,6,-8,3
"37",17,17,17,17,"2016-11-27","@","LOS ANGELES LAKERS","L",94,109,39,88,0.443,12,35,0.343,4,10,0.4,7,38,25,5,6,12,19,NA,42,95,0.442,8,20,0.4,17,20,0.85,15,53,20,7,2,9,15,"ATLANTA HAWKS",4,-15,-13,5,4,3
"38",66,66,66,66,"2017-03-11","@","MEMPHIS GRIZZLIES","W",107,90,36,72,0.5,15,30,0.5,20,26,0.769,6,46,22,9,6,18,23,NA,34,90,0.378,5,29,0.172,17,23,0.739,13,41,22,11,3,13,21,"ATLANTA HAWKS",10,5,3,0,3,5
"39",68,68,68,68,"2017-03-16","","MEMPHIS GRIZZLIES","L",91,103,29,71,0.408,8,27,0.296,25,34,0.735,8,38,19,6,9,17,17,NA,39,92,0.424,10,28,0.357,15,18,0.833,16,48,29,7,5,11,25,"ATLANTA HAWKS",-2,-10,10,-10,4,6
"40",10,10,10,10,"2016-11-15","@","MIAMI HEAT","W",93,90,37,80,0.463,6,17,0.353,13,19,0.684,6,35,18,14,4,19,13,NA,36,89,0.404,7,23,0.304,11,14,0.786,17,48,13,11,7,23,23,"ATLANTA HAWKS",-1,-13,2,5,-3,-4
"41",23,23,23,23,"2016-12-07","","MIAMI HEAT","W",103,95,43,88,0.489,4,19,0.211,13,15,0.867,14,47,27,9,9,14,20,NA,34,80,0.425,11,27,0.407,16,20,0.8,8,33,20,6,6,16,16,"ATLANTA HAWKS",-7,14,-3,7,3,-2
"42",49,49,49,49,"2017-02-01","@","MIAMI HEAT","L",93,116,34,86,0.395,7,26,0.269,18,21,0.857,9,43,13,10,6,15,14,NA,45,93,0.484,12,32,0.375,14,19,0.737,10,47,23,10,11,12,18,"ATLANTA HAWKS",-5,-4,4,-10,-5,3
"43",57,57,57,57,"2017-02-24","","MIAMI HEAT","L",90,108,30,79,0.38,6,20,0.3,24,36,0.667,8,45,14,7,6,10,12,NA,40,99,0.404,17,37,0.459,11,13,0.846,15,54,30,7,5,12,27,"ATLANTA HAWKS",-11,-9,13,-16,1,-2
