,Rk,G,Date,X,Opp,W.L,Tm,Opp.1,TeamFG,TeamFGA,TeamFG.,Team3P,Team3PA,Team3P.,TeamFT,TeamFTA,TeamFT.,TeamORB,TeamTRB,TeamAST,TeamSTL,TeamBLK,TeamTOV,TeamPF,X.1,OppoFG,OppoFGA,OppoFG.,Oppo3P,Oppo3PA,Oppo3P.,OppoFT,OppoFTA,OppoFT.,OppoORB,OppoTRB,OppoAST,OppoSTL,OppoBLK,OppoTOV,OppoPF,Tm1
274,4,4,2016/11/2,,PHI,W,109,93,39,79,0.494,13,34,0.382,18,26,0.692,9,44,25,8,3,15,17,NA,34,86,0.395,12,38,0.316,13,15,0.867,8,37,23,8,2,17,24,CHA
275,5,5,2016/11/4,@,BRK,W,99,95,36,86,0.419,10,30,0.333,17,24,0.708,7,49,24,7,3,16,18,NA,35,87,0.402,9,36,0.25,16,21,0.762,7,46,20,12,4,15,22,CHA
276,6,6,2016/11/7,,IND,W,122,100,41,84,0.488,12,32,0.375,28,32,0.875,3,43,30,12,4,11,15,NA,40,94,0.426,9,33,0.273,11,15,0.733,12,52,23,8,4,18,25,CHA
277,7,7,2016/11/9,,UTA,W,104,98,38,82,0.463,8,26,0.308,20,29,0.69,5,37,24,8,3,8,19,NA,38,82,0.463,8,34,0.235,14,18,0.778,10,46,24,5,6,12,22,CHA
278,8,8,2016/11/11,,TOR,L,111,113,38,93,0.409,17,41,0.415,18,24,0.75,18,57,22,1,4,11,16,NA,43,90,0.478,6,22,0.273,21,22,0.955,8,45,18,8,5,5,21,CHA
279,9,9,2016/11/13,@,CLE,L,93,100,36,95,0.379,11,29,0.379,10,12,0.833,10,45,23,7,3,5,19,NA,39,92,0.424,14,38,0.368,8,15,0.533,12,53,25,3,8,9,13,CHA
280,10,10,2016/11/15,@,MIN,W,115,108,43,80,0.538,11,24,0.458,18,22,0.818,4,37,25,10,6,13,17,NA,38,89,0.427,15,35,0.429,17,21,0.81,14,43,25,4,5,18,19,CHA
281,11,11,2016/11/18,,ATL,W,100,96,37,90,0.411,10,29,0.345,16,24,0.667,8,44,25,11,4,11,16,NA,39,84,0.464,7,28,0.25,11,17,0.647,8,49,25,9,6,16,18,CHA
282,12,12,2016/11/19,@,NOP,L,116,121,40,97,0.412,15,43,0.349,21,28,0.75,8,52,29,7,5,14,21,NA,43,98,0.439,14,36,0.389,21,25,0.84,10,53,27,9,6,11,23,CHA
283,13,13,2016/11/21,,MEM,L,90,105,30,73,0.411,9,31,0.29,21,33,0.636,8,39,20,6,9,10,13,NA,40,84,0.476,12,26,0.462,13,17,0.765,6,40,24,7,8,10,24,CHA
284,14,14,2016/11/23,,SAS,L,114,119,45,89,0.506,11,20,0.55,13,18,0.722,12,44,30,3,3,15,16,NA,44,86,0.512,13,31,0.419,18,20,0.9,8,34,28,9,8,9,18,CHA
285,15,15,2016/11/25,@,NYK,L,111,113,43,93,0.462,8,29,0.276,17,27,0.63,10,46,25,6,4,13,14,NA,45,97,0.464,11,28,0.393,12,13,0.923,13,55,26,9,8,16,21,CHA
286,16,16,2016/11/26,,NYK,W,107,102,35,80,0.438,8,22,0.364,29,42,0.69,10,52,16,3,9,10,14,NA,37,99,0.374,12,32,0.375,16,20,0.8,11,47,26,9,6,8,27,CHA
287,17,17,2016/11/28,@,MEM,W,104,85,36,82,0.439,9,26,0.346,23,31,0.742,9,47,24,3,4,13,14,NA,36,89,0.404,7,29,0.241,6,13,0.462,8,42,21,10,4,12,25,CHA
288,18,18,2016/11/29,,DET,L,89,112,31,78,0.397,9,27,0.333,18,21,0.857,5,40,21,7,5,13,16,NA,45,92,0.489,12,28,0.429,10,11,0.909,9,44,21,7,4,11,19,CHA
289,19,19,2016/12/1,,DAL,W,97,87,35,74,0.473,5,18,0.278,22,31,0.71,4,39,24,5,6,10,18,NA,32,86,0.372,9,31,0.29,14,18,0.778,9,41,18,6,2,11,25,CHA
290,20,20,2016/12/3,,MIN,L,120,125,44,101,0.436,14,36,0.389,18,26,0.692,13,50,30,6,8,14,16,NA,48,106,0.453,10,27,0.37,19,22,0.864,14,51,32,10,10,10,19,CHA
291,21,21,2016/12/5,@,DAL,W,109,101,40,79,0.506,3,18,0.167,26,28,0.929,9,53,21,2,5,12,19,NA,37,89,0.416,13,36,0.361,14,18,0.778,9,35,23,4,2,7,19,CHA
292,22,22,2016/12/7,,DET,W,87,77,30,88,0.341,6,21,0.286,21,29,0.724,5,51,13,7,2,5,11,NA,34,89,0.382,4,27,0.148,5,8,0.625,7,57,21,3,8,12,18,CHA
293,23,23,2016/12/9,,ORL,W,109,88,41,85,0.482,9,22,0.409,18,23,0.783,13,59,23,4,5,12,13,NA,34,91,0.374,9,34,0.265,11,14,0.786,9,40,22,6,2,8,17,CHA
294,24,24,2016/12/10,@,CLE,L,105,116,39,86,0.453,10,27,0.37,17,24,0.708,12,39,24,5,0,14,24,NA,42,73,0.575,13,31,0.419,19,28,0.679,7,40,25,8,2,17,24,CHA
295,25,25,2016/12/12,@,IND,L,94,110,28,84,0.333,10,26,0.385,28,32,0.875,9,46,16,8,4,13,15,NA,43,88,0.489,17,36,0.472,7,10,0.7,5,42,24,4,11,11,21,CHA
296,26,26,2016/12/14,@,WAS,L,106,109,38,74,0.514,14,33,0.424,16,21,0.762,5,33,25,7,8,18,18,NA,45,87,0.517,5,18,0.278,14,17,0.824,12,41,27,15,3,14,18,CHA
297,27,27,2016/12/16,@,BOS,L,88,96,32,97,0.33,8,30,0.267,16,19,0.842,16,53,21,10,4,12,21,NA,34,78,0.436,9,28,0.321,19,26,0.731,5,46,26,7,8,13,15,CHA
298,28,28,2016/12/17,@,ATL,W,107,99,43,88,0.489,12,27,0.444,9,13,0.692,7,43,26,8,3,12,17,NA,40,86,0.465,10,26,0.385,9,16,0.563,9,47,26,4,2,12,18,CHA
299,29,29,2016/12/20,,LAL,W,117,113,43,94,0.457,11,25,0.44,20,24,0.833,16,44,30,5,2,10,13,NA,44,90,0.489,16,33,0.485,9,11,0.818,10,40,29,5,12,12,20,CHA
300,30,30,2016/12/23,,CHI,W,103,91,37,84,0.44,5,18,0.278,24,28,0.857,12,48,25,6,13,10,8,NA,38,96,0.396,7,22,0.318,8,10,0.8,17,52,20,5,6,9,20,CHA
