"","x"
"1267",5
"1268",-12
"1269",10
"1270",6
"1271",-12
"1272",-23
"1273",-2
"1274",-5
"1275",2
"1276",0
"1277",3
"1278",-5
"1279",-18
"1280",0
"1281",-6
"1282",-3
"1283",0
"1284",9
"1285",-1
"1286",-5
"1287",4
"1288",-11
"1289",-20
"1290",-2
"1291",-10
"1292",-11
"1293",-5
"1294",-12
"1295",0
"1296",-9
"1297",-5
"1298",7
"1299",6
"1300",6
"1301",-2
"1302",-6
"1303",-4
"1304",-1
"1305",-5
"1306",6
"1307",6
"1308",22
"1309",-3
